Date,Title,Upvote,Upvote Ratio
2018-11-20 07:06:38,"$GOOG, with all the data that google has and the ability to make products (both physical and digital), how is this company not the largest in the world?",2,0.67
2020-10-30 13:08:07,"Here is a Market Recap for today Friday, October 30, 2020. What a crazy day, hope this helps a bit :)",171,0.97
2018-01-13 13:48:47,AMZN or GOOG (GOOGL) for long term hold?,9,0.72
2021-01-10 10:41:26,Bloody market week,0,0.21
2020-07-31 12:48:31,AAPL only needs to rise about 8% to reach a $2 Trillion market cap,241,0.95
2018-11-09 11:48:36,GOOG and GOOGL,3,1.0
2018-07-17 12:57:24,GOOG and diversification from Ads,4,0.75
2017-07-05 08:41:24,"$AAPL, than $GOOG, now $FB. All Large-Cap techs are trending into bear. Would you balance your portfolio with a inverse tech etf stock like $TECS?",15,0.76
2015-07-22 08:12:40,Why is $GOOG trading at 33x earnings while $AAPL only at 14x earnings,49,0.9
2017-01-26 17:51:01,"To those who own GOOG, GOOGL...",21,0.75
2020-12-29 12:45:29,What is over diverstified portfolio?,1,0.56
2020-10-26 13:06:43,"Here is a Market Recap for today Monday, October 26, 2020. Please enjoy!",188,0.96
2021-02-12 19:26:57,TSLA autonomous and robo taxi bear case,1,1.0
2019-01-27 05:33:57,Huge breakthrough last week on the road to AGI. What will it mean for GOOG?,0,0.33
2020-11-02 13:05:18,"Here is a Market Recap for today Monday, November 2, 2020. Please enjoy!",109,0.96
2020-10-20 13:09:07,"Here is a Market Recap for today Tues, Oct 20, 2020. Please enjoy!",181,0.96
2020-11-08 17:19:50,I used a web-scraper and Python to compile the average portfolio of the quarterly thread:,55,0.95
2017-11-08 16:35:08,What is the difference between GOOG and GOOGL?,10,0.78
2020-12-30 07:33:34,What other sectors should I be looking at?,3,0.67
2020-06-30 14:42:56,"1,5 Years Since My Journey Began, $52 591 dollars wealthier & only 18 months left.",1834,0.93
2020-10-28 18:07:12,"Pinterest’s pandemic surge continues, stock jumps more than 25% toward fresh record highs",60,0.97
2020-12-30 09:28:28,What’s Your Reinvestment Strategy?,2,1.0
2021-01-19 14:45:53,adTech - MRAD ETF,2,1.0
2020-12-21 20:01:20,Portfolio advice?,0,0.5
2018-09-28 16:17:41,ELI5: what's the difference between goog and googl?,1,0.6
2020-10-01 13:23:03,"Here is a Market Recap for today Thursday, Oct 1. Please enjoy!",343,0.98
2020-10-31 05:09:03,"Here are some sectors I think may be bullish in the short/medium term, do comment.",14,0.85
2020-10-28 13:16:45,"Here is a Market Recap for today Wednesday, October 28, 2020. Please enjoy!",125,0.98
2015-02-20 11:04:26,AAPL or GOOG?,12,0.84
2020-10-27 13:09:48,"Here is a Market Recap for today Tuesday, October 27, 2020. Please enjoy!",88,0.96
2020-11-26 18:55:21,Is Microsoft immune to big tech regulation?,8,0.83
2020-10-12 13:30:22,Market Recap - Monday October 12 PLEASE ENJOY!!,155,0.98
2018-04-02 13:26:08,$GOOG when is the punishment going to end?,0,0.43
2016-10-24 08:29:38,Larry Page is worth almost $40B but only $60M of that is in GOOG stock. Where is the rest of his money invested?,75,0.78
2016-07-30 09:57:13,Sold GOOG but trade confirmation says I sold GOOGL,22,0.72
2020-12-15 02:54:21,Do you change your portfolio in anticipation of a market crash?,0,0.31
2020-09-08 12:20:02,"Ranking The Big 5: Amazon, Apple, Alphabet, Facebook, Microsoft",11,0.8
2018-04-24 09:32:01,WHAT is happening to GOOG?,0,0.5
2016-03-16 10:24:45,$GOOG or $AMZN? Or neither?,9,0.85
2017-03-24 02:06:32,Do you purchase GOOG or GOOGLE?,9,0.85
2015-09-07 17:14:40,Sell or buy GOOG?,14,0.77
2017-02-02 00:50:42,When to buy into $GOOG/$GOOGL?,9,0.77
2017-07-27 10:29:05,Thoughts on GOOG?,6,0.69
2020-10-29 13:41:25,"Here is a Market Recap for today Thursday, October 29, 2020. Please enjoy!",118,0.96
2020-09-18 13:31:15,"Here is a Market Recap I wrote for today Sept 18, 2020",129,0.98
2017-09-13 10:46:17,GOOG AAPL FB,1,0.53
2016-05-05 05:48:19,GOOG vs. AAPL,13,0.84
2016-05-03 13:21:57,Good time to buy GOOG and TWTR?,8,0.68
2018-03-27 09:59:09,Goog is so weak recently,1,0.67
2016-11-14 14:41:01,"$CMG, $PPG, $EPR, $JPM, $GOOG, and $MSFT are all recommended buys.",3,0.81
2020-08-19 14:48:17,Next to $2T - Amazon or Microsoft or Google?,80,0.93
2017-09-15 13:24:05,GOOG vs BIDU vs NVDA,2,0.67
2015-07-19 05:08:47,"Apple AAPL before earnings, will it repeat GOOG jump up?",15,0.78
2020-11-06 09:53:48,Trying to get a handle on valuations and target prices,9,0.79
2016-08-09 04:59:37,$AMZN vs $GOOG,3,0.64
2017-09-06 09:39:17,GOOG AMZN,1,0.67
2020-09-23 13:25:17,"Here is a Market Recap for today, Sept 23. What a crazy day!",87,0.96
2020-12-12 12:21:06,Categorizing the cloud market,4,1.0
2014-04-03 07:56:47,Can someone ELI5 the difference between GOOG and GOOGL stock as it affects me as an investor?,25,0.85
2020-09-08 15:00:04,"""call options driving up price of stock"" - can someone explain how?",4,0.76
2020-11-11 12:02:38,"The end is nigh for Jack Ma, Alibaba, Ant Financials?",0,0.35
2020-12-21 13:58:15,Top stocks holding 2020,8,1.0
2014-08-28 12:38:41,Google (GOOG) new patent makes the Google glass less clumsy. Anyone tried the current version? Experts claim it could be $1B opportunity.,27,0.88
2015-08-06 09:46:34,A Detailed Look At $GOOG,19,0.79
2017-04-04 14:06:09,Why is GOOG stock going down?,1,0.6
2020-11-27 13:27:34,What’s everyone’s current opinion on Alphabet as a medium term play? (6 to 12 months),2,0.75
2016-04-30 16:42:49,Goog and googl,16,0.83
2014-07-18 09:27:51,"GOOGL v. GOOG. I have equal shares of both (I held before the dividend) if I wanted to sell half of my stake, which ones should I sell?",16,0.71
2018-03-27 18:34:44,GOOG,0,0.5
2016-06-07 14:38:19,GOOG,9,0.81
2020-10-19 15:41:24,Google question,10,0.79
2017-02-01 11:25:10,PSA. GOOG and GOOGL are at lows after poor earnings.,0,0.5
2013-03-12 02:21:02,Thoughts about GOOG?,9,0.8
2016-05-04 05:08:15,GOOG vs GOOGL,0,0.5
