Date,Title,Upvote,Upvote Ratio
2016-05-09 17:09:16,Putting $50k into companies of the future (AAPL/GOOG/AMZN/TSLA/FB),0,0.29
2017-03-23 08:35:24,What is your strike price on GOOG?,0,0.5
2012-08-25 19:39:26,"Aside from AAPL, GOOG, and Samsung, which stocks will be affected by the Apple v. Samsung ruling?",12,0.72
2011-09-27 11:05:34,anyone else think GOOG is undervalued?,15,0.89
2020-11-26 04:37:27,Digital Advertisement market to reach $626B by 2026,5,0.78
2020-05-04 14:47:42,"NVDA/AMD/MSFT/AAPL, which has the most potential for growth?",65,0.81
2020-07-28 18:15:02,Most anticipated IPOs in 2020-2021 for long term hold?,54,0.81
2016-02-04 07:47:22,Oout if loop with $Goog...,3,0.64
2014-04-03 06:40:33,GOOG split: When will the other half of my shares return to my brokerage account?,4,0.67
2020-10-19 10:49:14,S&GA: Google vs Apple - How is Apple able to achieve single-digit SGA margin? And why is Google SGA margin so high?,9,0.8
2014-12-01 19:27:41,"Every big Tech name is hit hard today, AAPL, AMZN, YHOO, GOOG, NFLX. Is it end of tech party?",0,0.5
2020-08-18 21:32:15,My Tesla Valuation,0,0.48
2017-08-24 14:37:56,"Great autonomous vehicle article, relevant to long GOOG, NVDA, TSLA plays",0,0.5
2020-10-05 07:38:46,Today's Top News,21,0.73
2011-10-03 13:24:08,"GOOG is under 500, time to buy?",14,0.72
2013-07-17 10:34:29,"AMZN + GOOG 52 week highs, thinning out?",10,0.82
2020-08-17 21:06:29,Analysis of Scion Asset Management 13-F Filing,53,0.83
2014-04-30 08:11:56,Should small investor invest in GOOGL or GOOG,10,0.68
2012-10-18 14:21:55,Is this the opportunity to get into GOOG?,15,0.85
2012-01-12 11:28:34,"GOOG owners, what if we wrote a letter to Google as shareholders regarding a SOPA blackout.",28,0.77
2014-04-16 11:28:58,A new discussion re dilution in GOOG vs GOOGL,5,0.77
2020-04-29 13:26:47,MSFT revenue 35.02B vs 33.99B forecast !,245,0.94
2012-01-05 14:02:10,Thoughts on GOOG?,13,0.94
2016-02-04 18:00:01,Questions about $INTC and $GOOG,3,0.65
2012-05-18 09:53:00,"[NEWB ALERT] Why is there 2.7 billion shares of FB, but AAPL (900mil) and GOOG (300mil) have no where near as close? What's the strategy of diluting so much? Cheaper cost of entry?",11,0.92
2015-08-25 06:49:37,"What is the difference between SWX AAPL and NASDAQ AAPL? Same for Google, also GOOG and GOOGL...",8,0.72
2020-07-31 16:42:51,Is there an app that will send an alert when a stock price has changed a given percentage over a given time period?,5,0.62
2015-01-27 20:41:40,"Been watching Google (GOOG) for awhile now. If you were in my boat, would you buy ASAP?",0,0.36
2020-08-31 14:09:52,When will the market crash? Asking for a friend...,0,0.48
2013-11-12 09:12:16,Is it a smart time to invest in Google (GOOG)?,0,0.5
2020-08-21 20:35:21,QQQ vs. VGT: Calculator? DRIP? ER? Overall?,12,0.83
2012-06-22 12:12:14,"How would stock split effect GOOG ?
",3,0.62
2015-11-05 20:25:35,what does /r/investing think about investing into AMZN and GOOG right now?,0,0.2
2014-05-29 07:01:15,"GOOG, GOOGL and Class B shares",16,0.76
2020-06-07 19:51:15,FAANG Diversification post 2018,13,0.71
2020-09-01 22:12:21,Individual stocks in taxable account or Roth IRA?,9,0.76
2013-10-18 19:57:01,The Power of Diversification... (GOOG & CMG),1,0.57
2012-11-23 13:11:03,Beginner question: Ask/Bid size. People can't just buy 1 or 10 shares of like AAPL or GOOG?,1,0.56
2020-05-26 12:25:30,Is Zoom headed the same way as Slack ?,59,0.87
2020-10-02 20:09:35,How to determine Google's actual value,0,0.41
2020-02-24 20:48:01,Picking stocks based on personal consumption,379,0.93
2014-09-05 15:09:11,GOOG vs. GOOGL : which is more valuable to have for the long term?,6,0.66
2014-05-02 09:41:56,What is the difference in stock goog vs googl?,0,0.46
2014-04-03 16:54:57,GOOG or GOOGL...is it even a question???,1,0.57
2015-01-23 05:45:07,Any thoughts on why the price gap between GOOG and GOOGL decreasing?,6,0.88
2014-02-17 23:26:56,Buying 7th Mar $1207.50 Call on goog after purchase of Israeli startup company. Possible money maker considering 13/50 ema/sma upward trends?,2,0.63
2015-04-12 09:30:51,Two Trading Symbols??? BRK.A & BRK.B AND GOOG & GOOGL (Confused),0,0.22
2014-01-05 07:30:35,I've been following GOOG for a while...,0,0.33
2011-10-13 10:09:37,GOOG takes a dump mid day for seemingly no reason.  Pre earnings volitility or did something leak?,0,0.5
2020-10-08 11:44:41,Compiled Today's Top News,9,0.72
2013-05-22 10:55:36,"GOOG is going down [scope: minutes/hours, today only]!",2,0.62
2020-05-14 23:32:40,"I started my career in November and investing February 5th, 2020 - my strategy as a once peasant Mexican",61,0.73
2014-04-03 12:06:56,"I have $500. Can someone do all the work for me, and tell me how to turn it into $10,000 over the next 6 months using popular stocks such as TSLA, FB, and GOOG?",0,0.35
2020-07-20 08:51:51,A quick look at AT&T Inc (T),12,0.62
2020-10-02 15:22:57,Today's Trending Companies in the News,8,0.66
2014-04-01 14:44:04,Goog split hurts with commissions.,2,0.62
2013-05-03 17:13:40,When would be a good time to buy GOOG?,0,0.5
2020-05-18 12:27:29,"Critique my 19 stock, long-term hold portfolio to bet on Cloud/Quantum Computing and AI over the next 10 years",27,0.78
2013-08-08 10:38:06,"When I look at pages of options for GOOG ___ the numbers seems so out of wack, some are going down, some going up, no real pattern. Then a ""catch up phase"".",1,0.67
2014-10-16 19:28:13,"Thoughts on tech stocks correction - NFLX collapsed after earnings, GOOG and AMD decline, will AMZN, GPRO, TWTR, BABA, FB all collapse as well?",2,0.63
2020-05-06 23:26:35,Which is your favorite company from each sector?,11,0.69
2012-11-19 12:08:46,"What ever happened to GOOG's stock ""split?"" (new share class)",14,0.86
2012-09-07 19:09:34,Mashable wrote about GOOG's new 5-year high today. But they used a Yahoo stock chart.,2,0.53
2013-11-16 14:45:45,Any other GOOG investors receive the Notice of Class Action Settlement??,4,0.83
